Job Title,Job Description,Company Name,State,Type of ownership,Industry,Sector,Min_Salary,Max_Salary,Date_Posted,Valid_until,min_salary,max_salary
Data Scientist,"Title: Data Scientist
Location: Oakland, CA 94612
Duration: Contract
Job Description:
Client is in the middle of modernizing many of the IT infrastructure systems and business applications.
Importantly, the District is implementing a new Computer-Aided Dispatch and Automated Vehicle Location (CAD/AVL) system.
All the District 635 buses are equipped with the latest and the greatest mobile edge computing and 4G network devices.
From this new implementation, client will begin to receive larger datasets than before.
The polling rate for the new system for each bus has increased from 1 minute to 15 seconds, bringing in more vehicle location, telemetry data and historical data.
Outside of the primary CAD/AVL data, onboard integration will bring in data from the client Signal Priority, Farebox, Digital Video Recorders, and Automatic Passenger Counter systems.
This new influx of Big Data, Artificial intelligence (AI), Machine learning, and the Internet of Things (IoT) will require a Data Scientist, an architect that will design and implement an infrastructure to handle the influx of huge volume of data.
Roles & Responsibilities:
The candidate will become familiar with the various modules of the new CAD/AVL, as well as data from the existing transit system and Data warehouse to make recommendations on the appropriate data ingestion and integration standards, practices, and tools.
In the intent on sharing data with the public or internally, this position will assist the IT management to implement the data governance plan and open data platform.
Required Experience:
The position must have experience in Team Data Science Process (TDSP), moving data to Azure Data Lake and analytics using U-SQL.
Required Skills:
This position will require data science skills such as Statistics, Machine Learning, Multivariable Calculus & Linear Algebra, data wrangling & intuition, and data visualization & communication.
About our Company: -

22nd Century technologies is a Minority (MBE) that supports demanding staffing programs for Corporations and State and Local Government Agencies. Its journey began in 1997 by supporting large Federal contracts which nudged us in the direction of creating large candidate pools across the country. Over the last 20 years, we have built a strong business model that is carefully constructed to deliver on multiple facets. We have proven past performance of providing services that exceed our clients' expectations. Today 22nd Century technologies supports clients in all 50 states and has grown to be a company that is trusted and sought for providing a complex mix of workforce solutions. With a firm grip on the entire spectrum of staffing solutions, we have placed more than 500,000 skilled resources and delivered 15 million+ man-hours.
“22nd Century Technologies is an Equal Opportunity Employer"" and “US Citizens & all other parties authorized to work in the US are encouraged to apply.""",22nd Century Technologies," CA",Company - Private,IT Services,Information Technology,101963,122280,2020-04-24,2020-06-06,101963,122280
Data Scientist,"Title: Data Scientist
Location: Oakland, CA 94612
Duration: Contract
Job Description:
Client is in the middle of modernizing many of the IT infrastructure systems and business applications.
Importantly, the District is implementing a new Computer-Aided Dispatch and Automated Vehicle Location (CAD/AVL) system.
All the District 635 buses are equipped with the latest and the greatest mobile edge computing and 4G network devices.
From this new implementation, client will begin to receive larger datasets than before.
The polling rate for the new system for each bus has increased from 1 minute to 15 seconds, bringing in more vehicle location, telemetry data and historical data.
Outside of the primary CAD/AVL data, onboard integration will bring in data from the client Signal Priority, Farebox, Digital Video Recorders, and Automatic Passenger Counter systems.
This new influx of Big Data, Artificial intelligence (AI), Machine learning, and the Internet of Things (IoT) will require a Data Scientist, an architect that will design and implement an infrastructure to handle the influx of huge volume of data.
Roles & Responsibilities:
The candidate will become familiar with the various modules of the new CAD/AVL, as well as data from the existing transit system and Data warehouse to make recommendations on the appropriate data ingestion and integration standards, practices, and tools.
In the intent on sharing data with the public or internally, this position will assist the IT management to implement the data governance plan and open data platform.
Required Experience:
The position must have experience in Team Data Science Process (TDSP), moving data to Azure Data Lake and analytics using U-SQL.
Required Skills:
This position will require data science skills such as Statistics, Machine Learning, Multivariable Calculus & Linear Algebra, data wrangling & intuition, and data visualization & communication.
About our Company: -

22nd Century technologies is a Minority (MBE) that supports demanding staffing programs for Corporations and State and Local Government Agencies. Its journey began in 1997 by supporting large Federal contracts which nudged us in the direction of creating large candidate pools across the country. Over the last 20 years, we have built a strong business model that is carefully constructed to deliver on multiple facets. We have proven past performance of providing services that exceed our clients' expectations. Today 22nd Century technologies supports clients in all 50 states and has grown to be a company that is trusted and sought for providing a complex mix of workforce solutions. With a firm grip on the entire spectrum of staffing solutions, we have placed more than 500,000 skilled resources and delivered 15 million+ man-hours.
“22nd Century Technologies is an Equal Opportunity Employer"" and “US Citizens & all other parties authorized to work in the US are encouraged to apply.""",22nd Century Technologies," CA",Company - Private,IT Services,Information Technology,85715,96664,2020-04-25,2020-06-06,85715,96664
Data Scientist,"Day to Day Responsibilities:
Daily responsibilities will be focused on advancing the machine learning platform and collaborating with partners.
Job Description
This person will be responsible for providing support to advance artificial intelligence and data analytics effort by building machine learning models, support their implementation and deployment through collaborations with stake holders. The position will be based in Thousand Oaks, CA and he/she will be part of Digital Integration & Predictive Technologies (DIPT) organization in Process Development. Support will include :
Build a wide range of data and analytics solutions, from descriptive to prescriptive using advance statistical and machine learning models
Leverage large datasets to conduct end-to end analytics that include data gathering and requirements specifications, processing, analytics, ongoing deliverables, and presentations
Interact cross-functionally with a wide variety of people and teams. Work closely with subject matter experts to identify opportunities and deliver value by developing novel, practical, scientific data-driven solutions to meet business needs
Basic Qualifications
Masters degree
OR
Bachelors degree & 2 years of directly related experience
OR
Associates degree & 6 years of directly related experience
OR
High school diploma / GED & 8 years of directly related experience

Preferred Qualifications
M.Sc., in Engineering or Computer Sciences
Expertise in comprehensive set of data analytics and modeling methods such as unsupervised (i.e. PCA, K-Means), supervised (i.e. PLS, tree-based algorithms and deep learning), approaches and in their application to biotechnology processes
Expertise working with large data sets, data mining and machine learning tools
Experience in various artificial intelligence applications
Expertise in Python and SQL Programming Languages
Understanding of biopharmaceuticals process, related unit operations including analytical methods and process controls.
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Independent, self-motivated, organized, able to multi-task in project environments, and skilled in communication, facilitation, and collaboration.
Team player, prepared to work in and embrace a team-based culture that relies on collaboration for effective decision-making
Familiarity with DevOps and good software practices (i.e. version control, continuous integration, test driven development)",Advanced Bio-Logic Solutions Corp," CA",Company - Private,-1,-1,-1,-1,2020-05-05,2020-06-05,0,0
Staff Scientist- Upstream PD,"As a Staff Scientist in Upstream Process Development, the candidate will be accountable for planning, development, optimization, execution and management of all assigned projects. Working with external clients, R&D, Quality Control/Quality assurance, and GMP Manufacturing, the successful candidate will provide technical expertise and scientific knowledge for design, development, optimization, and production of Protein Therapeutics, Vaccines and Viral Vectors. The successful candidate will contribute to the team based execution of projects, and will act as a primary lead in developing scalable and reproducible processes capable of GMP Production. The candidate will design experiments to meet specific criteria, support cGMP manufacturing operations and Technical Transfer, both internally and externally. Experience with Cell Line evaluation and development under cGMP or cGLP compliance is highly preferred.

The scientist in this position is expected to possess a clear understanding of the principles involved in various cell culture and fermentation methods and have experience in developing upstream process schemes. This position involves development of scale-up procedures for protein and viral based processes, optimization of procedures for optimal growth and productivity, and modification of existing procedures according to the federal regulations for making therapeutic products suitable for human injection. The successful candidate is expected to carry out the work independently with strict adherence to cGLP and cGMP compliance and to overcome challenges in meeting all regulatory requirements for making a safe product while maintaining the structural integrity and biological function of the therapeutic product. It is also necessary to interact with other departments involved in GMP manufacturing for the production planning, product testing and quality assurance for product release. Hands-on experience in process scale-up and transferring of upstream processes from PD to Manufacturing is desirable. Previous experience in a CMO or CRO is a plus.

Job Requirements

Develop robust, high-yield and scalable mammalian cell culture processes for the production of recombinant protein and viral candidates.
Develop and characterize cell lines, evaluate stability and suitability for large scale GMP manufacture.
Lead efforts to evaluate different cell culture media, feeds, and optimal feeding strategies to improve product yield and quality in suspension and monolayer cell culture.
Develop, optimize and scale-up fed-batch and continuous processes using Sartorius B-DCUII small glass bioreactors and BIOSTAT Flex-safe STR single-use bioreactors at 2L, 10L, 50L, and 200L scales, and iCELLis fixed-bed bioreactor.
Evaluate and optimize operation parameters to perform medium exchange, harvest and perfusion using ATF4 or ATF6 system at 50L and 200L production scales.
Interact with other departments involved in GMP manufacturing for production planning, testing and product release in a timely manner resulting in successful completion of projects.
Participate in technology transfer of processes to Manufacturing from external clients, and from internal process Development to Manufacturing.
Generate, manage, and maintain critical data in a highly organized manner in the form of notebooks, protocols, and batch records. Provide progress and developmental reports for assessment by clients, project team and management.
Review production batch records for GMP manufacturing, support and troubleshooting GMP production activities.
Perform experiments and deliver results under minimal supervision, and within tight time lines, to a prescribed budget for both internal / external client projects.

Travel Expectation

None

ABL, Inc. participates in E-Verify, an Internet-based system of the Department of Homeland Security (DHS) and Social Security Administration, that allows us to determine an employee's eligibility to work in the United States.

ADDITIONAL INFORMATION:
Candidate must meet all the requirements of our Company Occupational Health program as directed by the Occupational Health Consultant to include pre-employment physical and drug screen.
Candidates are encouraged to submit a resume and a cover letter outlining background and experience as it relates to the position requirements and salary history/requirements. Please note that “negotiable” is neither salary nor requirements. Salary commensurate with experience.

ABL, Inc. does not accept nor respond to unsolicited resumes from vendors, including recruitment agencies and search firms. Approved recruiting agencies must obtain prior approval from ABL, Inc. Human Resources in order to submit resumes to ABL, Inc. for consideration.",Advanced BioScience Laboratories," MD",Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,81587,93906,2020-05-02,2020-06-06,81587,93906
Staff Scientist- Upstream PD,"As a Staff Scientist in Upstream Process Development, the candidate will be accountable for planning, development, optimization, execution and management of all assigned projects. Working with external clients, R&D, Quality Control/Quality assurance, and GMP Manufacturing, the successful candidate will provide technical expertise and scientific knowledge for design, development, optimization, and production of Protein Therapeutics, Vaccines and Viral Vectors. The successful candidate will contribute to the team based execution of projects, and will act as a primary lead in developing scalable and reproducible processes capable of GMP Production. The candidate will design experiments to meet specific criteria, support cGMP manufacturing operations and Technical Transfer, both internally and externally. Experience with Cell Line evaluation and development under cGMP or cGLP compliance is highly preferred.

The scientist in this position is expected to possess a clear understanding of the principles involved in various cell culture and fermentation methods and have experience in developing upstream process schemes. This position involves development of scale-up procedures for protein and viral based processes, optimization of procedures for optimal growth and productivity, and modification of existing procedures according to the federal regulations for making therapeutic products suitable for human injection. The successful candidate is expected to carry out the work independently with strict adherence to cGLP and cGMP compliance and to overcome challenges in meeting all regulatory requirements for making a safe product while maintaining the structural integrity and biological function of the therapeutic product. It is also necessary to interact with other departments involved in GMP manufacturing for the production planning, product testing and quality assurance for product release. Hands-on experience in process scale-up and transferring of upstream processes from PD to Manufacturing is desirable. Previous experience in a CMO or CRO is a plus.

Job Requirements

Develop robust, high-yield and scalable mammalian cell culture processes for the production of recombinant protein and viral candidates.
Develop and characterize cell lines, evaluate stability and suitability for large scale GMP manufacture.
Lead efforts to evaluate different cell culture media, feeds, and optimal feeding strategies to improve product yield and quality in suspension and monolayer cell culture.
Develop, optimize and scale-up fed-batch and continuous processes using Sartorius B-DCUII small glass bioreactors and BIOSTAT Flex-safe STR single-use bioreactors at 2L, 10L, 50L, and 200L scales, and iCELLis fixed-bed bioreactor.
Evaluate and optimize operation parameters to perform medium exchange, harvest and perfusion using ATF4 or ATF6 system at 50L and 200L production scales.
Interact with other departments involved in GMP manufacturing for production planning, testing and product release in a timely manner resulting in successful completion of projects.
Participate in technology transfer of processes to Manufacturing from external clients, and from internal process Development to Manufacturing.
Generate, manage, and maintain critical data in a highly organized manner in the form of notebooks, protocols, and batch records. Provide progress and developmental reports for assessment by clients, project team and management.
Review production batch records for GMP manufacturing, support and troubleshooting GMP production activities.
Perform experiments and deliver results under minimal supervision, and within tight time lines, to a prescribed budget for both internal / external client projects.

Travel Expectation

None

ABL, Inc. participates in E-Verify, an Internet-based system of the Department of Homeland Security (DHS) and Social Security Administration, that allows us to determine an employee's eligibility to work in the United States.

ADDITIONAL INFORMATION:
Candidate must meet all the requirements of our Company Occupational Health program as directed by the Occupational Health Consultant to include pre-employment physical and drug screen.
Candidates are encouraged to submit a resume and a cover letter outlining background and experience as it relates to the position requirements and salary history/requirements. Please note that “negotiable” is neither salary nor requirements. Salary commensurate with experience.

ABL, Inc. does not accept nor respond to unsolicited resumes from vendors, including recruitment agencies and search firms. Approved recruiting agencies must obtain prior approval from ABL, Inc. Human Resources in order to submit resumes to ABL, Inc. for consideration.",Advanced BioScience Laboratories," MD",Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,78514,96537,2020-04-28,2020-06-06,78514,96537
Staff Scientist- Upstream PD,"As a Staff Scientist in Upstream Process Development, the candidate will be accountable for planning, development, optimization, execution and management of all assigned projects. Working with external clients, R&D, Quality Control/Quality assurance, and GMP Manufacturing, the successful candidate will provide technical expertise and scientific knowledge for design, development, optimization, and production of Protein Therapeutics, Vaccines and Viral Vectors. The successful candidate will contribute to the team based execution of projects, and will act as a primary lead in developing scalable and reproducible processes capable of GMP Production. The candidate will design experiments to meet specific criteria, support cGMP manufacturing operations and Technical Transfer, both internally and externally. Experience with Cell Line evaluation and development under cGMP or cGLP compliance is highly preferred.

The scientist in this position is expected to possess a clear understanding of the principles involved in various cell culture and fermentation methods and have experience in developing upstream process schemes. This position involves development of scale-up procedures for protein and viral based processes, optimization of procedures for optimal growth and productivity, and modification of existing procedures according to the federal regulations for making therapeutic products suitable for human injection. The successful candidate is expected to carry out the work independently with strict adherence to cGLP and cGMP compliance and to overcome challenges in meeting all regulatory requirements for making a safe product while maintaining the structural integrity and biological function of the therapeutic product. It is also necessary to interact with other departments involved in GMP manufacturing for the production planning, product testing and quality assurance for product release. Hands-on experience in process scale-up and transferring of upstream processes from PD to Manufacturing is desirable. Previous experience in a CMO or CRO is a plus.

Job Requirements

Develop robust, high-yield and scalable mammalian cell culture processes for the production of recombinant protein and viral candidates.
Develop and characterize cell lines, evaluate stability and suitability for large scale GMP manufacture.
Lead efforts to evaluate different cell culture media, feeds, and optimal feeding strategies to improve product yield and quality in suspension and monolayer cell culture.
Develop, optimize and scale-up fed-batch and continuous processes using Sartorius B-DCUII small glass bioreactors and BIOSTAT Flex-safe STR single-use bioreactors at 2L, 10L, 50L, and 200L scales, and iCELLis fixed-bed bioreactor.
Evaluate and optimize operation parameters to perform medium exchange, harvest and perfusion using ATF4 or ATF6 system at 50L and 200L production scales.
Interact with other departments involved in GMP manufacturing for production planning, testing and product release in a timely manner resulting in successful completion of projects.
Participate in technology transfer of processes to Manufacturing from external clients, and from internal process Development to Manufacturing.
Generate, manage, and maintain critical data in a highly organized manner in the form of notebooks, protocols, and batch records. Provide progress and developmental reports for assessment by clients, project team and management.
Review production batch records for GMP manufacturing, support and troubleshooting GMP production activities.
Perform experiments and deliver results under minimal supervision, and within tight time lines, to a prescribed budget for both internal / external client projects.

Travel Expectation

None

ABL, Inc. participates in E-Verify, an Internet-based system of the Department of Homeland Security (DHS) and Social Security Administration, that allows us to determine an employee's eligibility to work in the United States.

ADDITIONAL INFORMATION:
Candidate must meet all the requirements of our Company Occupational Health program as directed by the Occupational Health Consultant to include pre-employment physical and drug screen.
Candidates are encouraged to submit a resume and a cover letter outlining background and experience as it relates to the position requirements and salary history/requirements. Please note that “negotiable” is neither salary nor requirements. Salary commensurate with experience.

ABL, Inc. does not accept nor respond to unsolicited resumes from vendors, including recruitment agencies and search firms. Approved recruiting agencies must obtain prior approval from ABL, Inc. Human Resources in order to submit resumes to ABL, Inc. for consideration.",Advanced BioScience Laboratories," MD",Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,-1,2020-04-28,2020-06-06,0,0
Data Scientist,"Job Description
Title: Data Scientist
Location:Remote (SF/CT/MN/AZ/NY/WI)
Duration: 12 Months
MUST:- 2 plus years of financial services experience is a MUST
Job Responsibilities:
As an AI/NLP Data Scientist you will be responsible for building AI and Data Science models with the main focus on data extraction and insights from a form or any text corpora. You will need to rapidly prototype various algorithmic implementations and test their efficacy using appropriate experimental design and hypothesis validation.
Responsible for big data/analytics projects that gather and integrate large volumes of data. Specializes in developing and programming methods, processes, and systems to consolidate and analyze unstructured, diverse big data sources to generate insights and solutions for client services and product enhancement. Acquires data from multiple data sources to perform analysis. Implements and validates predictive models as well as create and maintain statistical models with a focus on big data. Identifies, analyzes and interprets trends or patterns in complex data to provide answers to business questions as well as provide recommendations for action. Interprets data and analyzes results using various advanced statistical techniques and tools. Presents data and analysis in a clear and concise manner allowing the audience to quickly understand the results and recommendations and make data-driven decisions. Collaborates with various partners to prioritize requests/needs and provide a holistic view of the analysis. Measures and monitors the results of applied recommendations and presents adjustments. Ensures all data acquisition, sharing and results of applied recommendations are compliant with company standards.

Basic Qualifications:
Bachelor's degree in a quantitative field such as statistics, computer science, engineering or applied mathematics, or equivalent work experience
8 plus years of relevant experience
Preferred Skills/Experience:
PhD or MS in Computer Science, Computational Linguistics, Artificial Intelligence with a heavy focus on NLP/Text mining with 5 years of relevant industry experience.
Creativity, resourcefulness, and a collaborative spirit.
Knowledge and working experience in one or more of the following areas: Natural Language Processing, Clustering, and Classifications of Text, Question Answering, Text Mining, Information Retrieval, Distributional Semantics, Knowledge Engineering, Search Rank and Recommendation.
Deep experience with text-wrangling and pre-processing skills such as document parsing and cleanup, vectorization, tokenization, language modeling, phrase detection, etc.
Proficient programming skills in a high-level language (e.g. Python, R, Java, Scala)
Being comfortable with rapid prototyping practices.
Being comfortable with developing clean, production-ready code.
Being comfortable with pre-processing unstructured or semi-structured data.
Experience with statistical data analysis, experimental design, and hypothesis validation.
Project-based experience with some of the following tools:
Natural Language Processing (e.g. Spacy, NLTK, OpenNLP or similar)
Applied Machine Learning (e.g. Scikit-learn, SparkML, H2O or similar)
Information retrieval and search engines (e.g. Elasticsearch/ELK, Solr/Lucene)
Distributed computing platforms, such as Spark, Hadoop (Hive, Hbase, Pig), GraphLab
Databases ( traditional and NoSQL)
Proficiency in traditional Machine Learning models such as LDA/topic modeling, graphical models, etc
Familiarity with Deep Learning architectures and frameworks such as Pytorch, Tensorflow, Keras",Adwait Algorithm," NY",Company - Private,IT Services,Information Technology,-1,-1,2020-05-06,2020-06-06,0,0
Data Scientist,"Please reach me at 916-605-4621shivang.rajpalagreeya.com if available and interested. Locals candidates only. The position will be onsite when the situation allows. During COVID candidate will be working remote must be on site M-F once the site opens. Job Details Manufacturing and Clinical Supply (MCS) within Process Development is searching is for a Data Scientist (CW) to support its multiple digital data programs. MCS is responsible for the end-to-end delivery of products, process knowledge and technology solutions to enable accelerated product commercialization. MCS serves as a launch site to enable speed to market for innovative products and biosimilars. This person will build a wide-range of innovative data and analytics solutions, from descriptive to prescriptive, develop advanced analytical models, integrate data, derive insights, and automate and enhance processes. The ideal candidate enjoys tackling challenges and excels at organizing information from numerous sources to provide well-constructed deliverables. Responsibilities will include, but are not limited to Leveraging large data sets to conduct end-to end analytics that will include data gathering, requirements specifications, processing, analytics, ongoing deliverables, and presentations. Interacting cross-functionally with a wide variety of people and teams. Preferred Qualifications M.Sc., in Engineering or Computer Sciences Expertise working with large data sets, data mining, and machine learning tools Expertise in Python andor R andor SQL programming languages Understanding of biopharmaceuticals process and related unit operations Understanding of supply chain processes and SAP knowledge Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy Independent, self-motivated, organized, able to multi-task in time-sensitive environments, and skilled in communication, facilitation, and collaboration Familiarity with DevOps and software best practices (i.e., version control, continuous integration, test driven development).",AgreeYa Solutions," CA",Company - Private,IT Services,Information Technology,-1,-1,2020-05-06,2020-06-06,0,0
Data Scientist,"Please reach me at 916-605-4621shivang.rajpalagreeya.com if available and interested. Locals candidates only. The position will be onsite when the situation allows. During COVID candidate will be working remote must be on site M-F once the site opens. Job Details Manufacturing and Clinical Supply (MCS) within Process Development is searching is for a Data Scientist (CW) to support its multiple digital data programs. MCS is responsible for the end-to-end delivery of products, process knowledge and technology solutions to enable accelerated product commercialization. MCS serves as a launch site to enable speed to market for innovative products and biosimilars. This person will build a wide-range of innovative data and analytics solutions, from descriptive to prescriptive, develop advanced analytical models, integrate data, derive insights, and automate and enhance processes. The ideal candidate enjoys tackling challenges and excels at organizing information from numerous sources to provide well-constructed deliverables. Responsibilities will include, but are not limited to Leveraging large data sets to conduct end-to end analytics that will include data gathering, requirements specifications, processing, analytics, ongoing deliverables, and presentations. Interacting cross-functionally with a wide variety of people and teams. Preferred Qualifications M.Sc., in Engineering or Computer Sciences Expertise working with large data sets, data mining, and machine learning tools Expertise in Python andor R andor SQL programming languages Understanding of biopharmaceuticals process and related unit operations Understanding of supply chain processes and SAP knowledge Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy Independent, self-motivated, organized, able to multi-task in time-sensitive environments, and skilled in communication, facilitation, and collaboration Familiarity with DevOps and software best practices (i.e., version control, continuous integration, test driven development).",AgreeYa Solutions," CA",Company - Private,IT Services,Information Technology,-1,-1,2020-05-06,2020-06-06,0,0
Data Scientist,"Ke`aki Technologies is looking for a qualified Data Scientist to support our contract with Brook Army Medical Center at Fort Sam Houston, TX. This position is allowed to be performed remotely with periodic travel to San Antonio for face to face meetings.

Description of Responsibilities:

Conducting a variety of bioinformatics work to include: data processing, analyzing and interpreting high-throughput biological and medical data with emphasis on next-generation sequencing (NGS) data, genomics, transcriptomics, proteomics, metabolomics, statistical data analysis, clinical data integration, statistical modeling, machine learning, metagenomics, ecology, phylogenetics, population genetics, evolutionary biology, data mining, advanced analysis method development, data structure and algorithm development, database development and maintenance.

• Usage of knowledge from computer science to manipulate and process complex research and medical data in support of biomedical research protocols.

• Usage of data management to capture information pertaining to biological and cellular activities based on molecular biology or related research.

• Consult and collaborate with basic science and clinical research groups within BAMC, the Institute of Surgical Research (ISR), universities and private sector research facilities to facilitate the gathering and sharing of relevant intellectual knowledge, expertise, and data.

• Expert knowledge of and skill in applying statistical formulas to recommend data quality program changes or using the statistics for interpreting and making changes to existing health policies.

• Provide consulting support for study design and statistical analysis; with limited or extensive consultations and proposal development

• Provide Protocol review and editing, with limited or extensive consultations and proposal development

.• Produce systematic documentation to ensure reproducibility of process and data analyses.

• Produce professional documentation in support of data analysis and provide

• Provide Statistical Analysis Plan (SAP) writing, with limited or extensive consultations and proposal development.

• Provide Dataset Management Consultation, with limited or extensive consultations and proposal development. • Provide Data Validity Reporting, with limited or extensive consultations and proposal • Provide Table Generation not limited to the following Table types: Demographics, Efficacy, Safety, Disposition and Experimental Results

• Provide Hypothesis Testing, with limited or extensive consultations and proposal development.

• Provide Result Reporting and Graphic Generation, with limited or extensive consultations and proposal development.

• Provide Post Hoc Analysis and Post Hoc Analysis Reporting, with limited or extensive consultations and proposal development.

• Provide Poster Creation and Manuscript Reviews, with limited or extensive consultations and proposal development.

REQUIRED SKILLS AND EXPERIENCE:

• The work of the Data Scientist involves applying information technology to biological, medical, and health research. Computational and statistical tools are used to gather and analyze data in fields such as medical, population, biology, genetics, and pharmaceutical development. The work at BAMC involves consulting and applying a full range of technical statistical and bioinformatics services in fields that may include medical, microbiology, virology, toxicology, organic and analytical chemistry, data science and managerial statistics.

• Specialized knowledge of advanced mathematics, statistics and statistical theory, concepts, and principles, physiology, genetics, chemistry, biology, microbiology, computational biology and genomics to provide consultative and/or advisory services.

• Must have expert level skills in one or more of the following: Python, R, SQL, SAS, and Mathematica. • Demonstrated ability to provide accurate and timely analytical products containing well reasoned and cogent discussion points providing leadership with substantiated options or courses of action

. • Experience and skills with advanced data and database management, e.g. capability of collecting, organizing and analyzing large amounts of data, computer science skills, and software programming

. • Must have experience in data mining. • Ability to use and develop software tools to generate useful genomic information and analyze genomic sequencing data.

• Must have strong analytical and quantitative skills, strong oral and written communication skills, and accustomed to working both independently and collaboratively.

• Provides expert consultations on statistical design and data collection, and conducts a variety of bioinformatics work to include: data processing, analyzing and interpreting high throughput biological and medical data with emphasis on next generation sequencing (NGS) data, genomics, transcriptomics, proteomics, metabolomics, statistical data analysis, clinical data integration, statistical modeling, machine learning, metagenomics, ecology, phylogenetics, population genetics, evolutionary biology, data mining, advanced analysis method development, data structure and algorithm development, database development and maintenance, software and IT solutions.

DEGREE/EDUCATION/CERTIFICATION REQUIREMENT:

A Ph.D. degree is required in Computer Science, Mathematics, Biostatistics, Statistics, Informatics or related areas.

Ke`aki Technologies LLC is a fast-growing government service provider. Employees enjoy competitive salaries; a 401K plan with company match; medical, dental, disability, and life insurance coverage; tuition reimbursement; paid time off; and 10 paid holidays. Laulima Government Solutions, LLC is proud to be an equal opportunity employer.

We are an Equal Opportunity/Affirmative Action Employer of individuals with disabilities and veterans. We are proud to state that we do not discriminate in employment decisions on the basis of race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. If you are a person with a disability and you need an accommodation during the application process, please click here to request accommodation. We E-Verify all employees.

The Alaka`ina Foundation Family of Companies (FOCs) is comprised of industry-recognized government service firms designated as Native Hawaiian Organization (NHO)-owned and 8(a) certified businesses. The Family of Companies (FOCs) includes Ke`aki Technologies, Laulima Government Solutions, Kūpono Government Services, and Kapili Services, Po`okela Solutions, Kīkaha Solutions, LLC, and Pololei Solutions, LLC. Alaka`ina Foundation activities under the 501(c)3 principally benefit the youth of Hawaii through charitable efforts which includes providing innovative educational programs that combine leadership, science & technology, and environmental stewardship.

For additional information, please visit www.alakainafoundation.com

#Monster",Alaka`ina Foundation Family of Companies," TX",Government,-1,-1,64427,115224,2020-05-01,2020-06-06,64427,115224
